YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2023-W19,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,AZ,8978929
2023-W19,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,AZ,8978929
2023-W19,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,AZ,8978929
2023-W19,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,AZ,8978929
2023-W19,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,AZ,8978929
2023-W19,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,AZ,8978929
2023-W19,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,AZ,8978929
2023-W19,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,AZ,8978929
2023-W19,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,AZ,8978929
2023-W19,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,AZ,8978929
2023-W19,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,AZ,8978929
2023-W18,AT,7427239,0,0,1,,0,4,0,1,0,0,0,AT,ALL,VLA,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,VLA,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,VLA,8978929
2023-W02,AT,1392642,0,0,0,,0,1,3,0,0,0,0,AT,Age50_59,VLA,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,VLA,8978929
2023-W18,AT,1086320,0,0,0,,0,1,0,1,0,0,0,AT,Age60_69,VLA,8978929
2023-W18,AT,1392642,0,0,0,,0,1,0,0,0,0,0,AT,Age50_59,VLA,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,VLA,8978929
2023-W18,AT,3005708,0,0,1,,0,1,0,0,0,0,0,AT,Age25_49,VLA,8978929
2023-W18,AT,676675,0,0,0,,0,1,0,0,0,0,0,AT,Age18_24,VLA,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,VLA,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,VLA,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,VLA,8978929
2023-W18,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,UNK,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,UNK,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,UNK,8978929
2023-W02,AT,676675,0,0,0,,1,0,1,2,0,0,0,AT,Age18_24,MOD,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,UNK,8978929
2023-W18,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,UNK,8978929
2023-W18,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,UNK,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,UNK,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,UNK,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,UNK,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,UNK,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,UNK,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,UNK,8978929
2023-W18,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,SGSK,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,SGSK,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,SGSK,8978929
2023-W18,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,SGSK,8978929
2023-W18,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,SGSK,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,SGSK,8978929
2022-W22,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,JANSS,8978929
2023-W02,AT,260101,0,0,0,,0,0,1,0,0,0,0,AT,Age15_17,MOD,8978929
2023-W02,AT,424628,0,0,0,,0,1,0,0,0,0,0,AT,Age10_14,MOD,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,SGSK,8978929
2023-W02,AT,1086320,0,0,0,,0,0,1,2,0,0,0,AT,Age60_69,VLA,8978929
2023-W02,AT,741680,0,0,0,,0,0,1,1,0,0,0,AT,Age70_79,VLA,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,SGSK,8978929
2023-W02,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,VLA,8978929
2021-W40,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,NVXD,8932664
2023-W02,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,VLA,8978929
2023-W02,AT,7427239,0,0,9,,7,3,12,3,0,0,0,AT,ALL,VLA,8978929
2023-W03,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,AZ,8978929
2023-W03,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,AZ,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,SGSK,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,SGSK,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,SGSK,8978929
2022-W22,AT,676675,0,0,0,,0,1,0,0,0,0,0,AT,Age18_24,JANSS,8978929
2023-W18,AT,7427239,0,0,0,,0,3,3,0,0,0,0,AT,ALL,NVXD,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,NVXD,8978929
2023-W03,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,AZ,8978929
2023-W03,AT,676675,0,0,0,,0,0,1,0,0,0,0,AT,Age18_24,AZ,8978929
2023-W03,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,AZ,8978929
2023-W03,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,AZ,8978929
2023-W03,AT,1392642,0,0,0,,0,0,2,0,0,0,0,AT,Age50_59,AZ,8978929
2023-W03,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,AZ,8978929
2023-W03,AT,1551690,0,0,70,,93,62,43,3,0,0,0,AT,Age<18,COM,8978929
2023-W03,AT,7427239,0,0,31,,43,69,1604,291,0,0,0,AT,ALL,COM,8978929
2021-W40,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,SGSK,8932664
2021-W40,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,SGSK,8932664
2021-W40,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,SGSK,8932664
2021-W40,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,SGSK,8932664
2021-W40,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,SGSK,8932664
2021-W40,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,SGSK,8932664
2021-W40,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,SGSK,8932664
2021-W40,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,SGSK,8932664
2021-W40,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,SGSK,8932664
2021-W40,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,SGSK,8932664
2021-W40,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,SGSK,8932664
2021-W40,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8932664
2021-W40,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,UNK,8932664
2021-W40,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,UNK,8932664
2021-W40,AT,260101,0,0,0,,0,0,0,0,0,0,1,AT,Age15_17,UNK,8932664
2021-W40,AT,676675,0,0,0,,0,0,0,0,0,0,5,AT,Age18_24,UNK,8932664
2021-W40,AT,3005708,0,0,0,,0,0,0,0,0,0,25,AT,Age25_49,UNK,8932664
2021-W40,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,UNK,8932664
2021-W40,AT,1392642,0,0,0,,0,0,0,0,0,0,7,AT,Age50_59,UNK,8932664
2021-W40,AT,1086320,0,0,0,,0,0,0,0,0,0,13,AT,Age60_69,UNK,8932664
2021-W40,AT,741680,0,0,0,,0,0,0,0,0,0,10,AT,Age70_79,UNK,8932664
2023-W03,AT,431785,0,0,0,,2,1,0,0,0,0,0,AT,Age0_4,COMBA.1,8978929
2023-W03,AT,424628,0,0,1,,0,0,0,0,0,0,0,AT,Age10_14,COMBA.1,8978929
2023-W03,AT,260101,0,0,0,,0,1,2,1,0,0,0,AT,Age15_17,COMBA.1,8978929
2023-W03,AT,676675,0,0,0,,2,1,7,1,0,0,0,AT,Age18_24,COMBA.1,8978929
2023-W03,AT,3005708,0,0,1,,4,10,40,4,0,0,0,AT,Age25_49,COMBA.1,8978929
2023-W03,AT,435176,0,0,0,,3,2,0,0,0,0,0,AT,Age5_9,COMBA.1,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,NVXD,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,NVXD,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,NVXD,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,NVXD,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,NVXD,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,NVXD,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,NVXD,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,NVXD,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,NVXD,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,NVXD,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,NVXD,8978929
2022-W01,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,SGSK,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,SGSK,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,SGSK,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,SGSK,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,SGSK,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,SGSK,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,SGSK,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,SGSK,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,SGSK,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,SGSK,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,SGSK,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2022-W01,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,UNK,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,UNK,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,1,AT,Age15_17,UNK,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,UNK,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,18,AT,Age25_49,UNK,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,1,AT,Age5_9,UNK,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,5,AT,Age50_59,UNK,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,4,AT,Age60_69,UNK,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,2,AT,Age70_79,UNK,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,1,AT,Age80+,UNK,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,2,AT,Age<18,UNK,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,30,AT,ALL,UNK,8978929
2022-W01,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,VLA,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,VLA,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,VLA,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,VLA,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,VLA,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,VLA,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,VLA,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,VLA,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,VLA,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,VLA,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,VLA,8978929
2022-W22,AT,3005708,0,0,7,,1,3,15,0,0,0,0,AT,Age25_49,JANSS,8978929
2022-W22,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,JANSS,8978929
2022-W22,AT,1392642,0,0,0,,0,2,12,0,0,0,0,AT,Age50_59,JANSS,8978929
2022-W22,AT,1086320,0,0,0,,0,1,2,0,0,0,0,AT,Age60_69,JANSS,8978929
2022-W22,AT,741680,0,0,0,,0,3,1,0,0,0,0,AT,Age70_79,JANSS,8978929
2022-W22,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,JANSS,8978929
2022-W22,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,JANSS,8978929
2022-W22,AT,7427239,0,0,7,,1,10,30,0,0,0,0,AT,ALL,JANSS,8978929
2022-W22,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MOD,8978929
2022-W22,AT,424628,0,0,0,,0,1,0,0,0,0,0,AT,Age10_14,MOD,8978929
2022-W22,AT,260101,0,0,0,,0,3,0,0,0,0,0,AT,Age15_17,MOD,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,VLA,8978929
2022-W02,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,AZ,8978929
2022-W02,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,AZ,8978929
2022-W02,AT,260101,0,0,0,,1,1,0,0,0,0,0,AT,Age15_17,AZ,8978929
2022-W02,AT,676675,0,0,2,,2,0,0,0,0,0,0,AT,Age18_24,AZ,8978929
2022-W02,AT,3005708,0,0,0,,1,8,0,0,0,0,0,AT,Age25_49,AZ,8978929
2022-W02,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,AZ,8978929
2022-W02,AT,1392642,0,0,0,,2,4,0,0,0,0,0,AT,Age50_59,AZ,8978929
2022-W02,AT,1086320,0,0,0,,0,5,1,0,0,0,0,AT,Age60_69,AZ,8978929
2022-W02,AT,741680,0,0,0,,0,2,2,0,0,0,0,AT,Age70_79,AZ,8978929
2022-W02,AT,524214,0,0,0,,0,2,0,0,0,0,0,AT,Age80+,AZ,8978929
2022-W02,AT,1551690,0,0,0,,1,1,0,0,0,0,0,AT,Age<18,AZ,8978929
2022-W02,AT,7427239,0,0,2,,5,21,3,0,0,0,0,AT,ALL,AZ,8978929
2022-W02,AT,431785,0,0,573,,313,3,0,0,0,0,0,AT,Age0_4,COM,8978929
2022-W02,AT,424628,0,0,5013,,8342,4726,7,0,0,0,0,AT,Age10_14,COM,8978929
2022-W02,AT,260101,0,0,1827,,2670,9435,11,1,0,0,0,AT,Age15_17,COM,8978929
2022-W02,AT,676675,0,0,3595,,5252,24736,56,1,0,0,0,AT,Age18_24,COM,8978929
2022-W02,AT,3005708,0,0,10219,,18033,96737,458,7,0,0,0,AT,Age25_49,COM,8978929
2022-W02,AT,435176,0,0,6630,,10905,42,0,0,0,0,0,AT,Age5_9,COM,8978929
2022-W02,AT,1392642,0,0,2417,,5771,37822,303,6,0,0,0,AT,Age50_59,COM,8978929
2022-W02,AT,1086320,0,0,1762,,4779,23416,441,11,0,0,0,AT,Age60_69,COM,8978929
2022-W02,AT,741680,0,0,1162,,3111,10869,436,3,0,0,0,AT,Age70_79,COM,8978929
2022-W02,AT,524214,0,0,1248,,3038,4665,208,2,0,0,0,AT,Age80+,COM,8978929
2022-W02,AT,1551690,0,0,14043,,22230,14206,18,1,0,0,0,AT,Age<18,COM,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,NVXD,8978929
2023-W18,AT,741680,0,0,0,,0,1,1,0,0,0,0,AT,Age70_79,NVXD,8978929
2023-W17,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,MOD,8978929
2023-W17,AT,1392642,0,0,3,,0,2,9,10,0,0,0,AT,Age50_59,MOD,8978929
2023-W17,AT,1086320,0,0,0,,1,1,1,5,0,0,0,AT,Age60_69,MOD,8978929
2023-W17,AT,741680,0,0,0,,0,0,1,3,0,0,0,AT,Age70_79,MOD,8978929
2023-W17,AT,524214,0,0,0,,0,0,0,1,0,0,0,AT,Age80+,MOD,8978929
2023-W17,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,MOD,8978929
2023-W17,AT,7427239,0,0,4,,1,6,19,24,0,0,0,AT,ALL,MOD,8978929
2023-W17,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MODBA.1,8978929
2023-W17,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,MODBA.1,8978929
2023-W17,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,MODBA.1,8978929
2023-W17,AT,676675,0,0,0,,0,0,1,0,0,0,0,AT,Age18_24,MODBA.1,8978929
2023-W17,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,MODBA.1,8978929
2023-W17,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,MODBA.1,8978929
2023-W17,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,MODBA.1,8978929
2023-W17,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,MODBA.1,8978929
2023-W17,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,MODBA.1,8978929
2023-W17,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,MODBA.1,8978929
2023-W17,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,MODBA.1,8978929
2023-W17,AT,7427239,0,0,0,,0,0,1,0,0,0,0,AT,ALL,MODBA.1,8978929
2023-W17,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,NVXD,8978929
2023-W17,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,NVXD,8978929
2023-W17,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,NVXD,8978929
2023-W17,AT,676675,0,0,0,,1,0,0,0,0,0,0,AT,Age18_24,NVXD,8978929
2023-W17,AT,3005708,0,0,0,,1,0,2,1,0,0,0,AT,Age25_49,NVXD,8978929
2023-W17,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,NVXD,8978929
2023-W17,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,NVXD,8978929
2023-W17,AT,1086320,0,0,1,,1,1,0,2,0,0,0,AT,Age60_69,NVXD,8978929
2023-W17,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,NVXD,8978929
2023-W17,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,NVXD,8978929
2023-W17,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,NVXD,8978929
2023-W17,AT,7427239,20000,0,1,,3,1,2,3,0,0,0,AT,ALL,NVXD,8978929
2023-W17,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,SGSK,8978929
2023-W17,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,SGSK,8978929
2023-W17,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,SGSK,8978929
2023-W17,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,SGSK,8978929
2023-W17,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,SGSK,8978929
2023-W17,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,SGSK,8978929
2023-W17,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,SGSK,8978929
2023-W17,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,SGSK,8978929
2023-W17,AT,741680,0,0,0,,0,0,1,0,0,0,0,AT,Age70_79,SGSK,8978929
2023-W17,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,SGSK,8978929
2023-W20,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,AZ,8978929
2023-W20,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,AZ,8978929
2023-W20,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,AZ,8978929
2023-W20,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,AZ,8978929
2023-W20,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,AZ,8978929
2023-W20,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,AZ,8978929
2023-W20,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,AZ,8978929
2023-W20,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,AZ,8978929
2023-W20,AT,431785,0,0,1,,10,6,0,0,0,0,0,AT,Age0_4,COM,8978929
2023-W18,AT,1086320,0,0,0,,0,0,1,0,0,0,0,AT,Age60_69,NVXD,8978929
2023-W18,AT,1392642,0,0,0,,0,2,1,0,0,0,0,AT,Age50_59,NVXD,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,NVXD,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,NVXD,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,NVXD,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,NVXD,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,NVXD,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,NVXD,8978929
2023-W18,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,MODBA.1,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,MODBA.1,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,MODBA.1,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,MODBA.1,8978929
2023-W18,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,MODBA.1,8978929
2023-W18,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,MODBA.1,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,MODBA.1,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,MODBA.1,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,MODBA.1,8978929
